X_i,X_j,LLM
"usually , he would be","usually , he would be home watching TV when his friends came over to study for exams.",Llama-3.2-3B-Instruct
mason barely acknowledged,mason barely acknowledged the greeting before focusing intently on his phone screen.,Llama-3.2-3B-Instruct
"instead , his baby blues remained","instead , his baby blues remained unchanged despite numerous attempts to color them with various dyes.",Llama-3.2-3B-Instruct
since the movie was,since the movie was released in theaters last summer.,Llama-3.2-3B-Instruct
each time she looked,"each time she looked at him through the crowded café, their eyes met for just one fleeting moment before they quickly glanced away again.",Llama-3.2-3B-Instruct
his platinum blond hair and blue eyes were,his platinum blond hair and blue eyes were the envy of many young actors who aspired to follow in his footsteps.,Llama-3.2-3B-Instruct
where megan was,where megan was working as a customer service representative at the front desk.,Llama-3.2-3B-Instruct
"after that , he had","after that , he had a sudden urge to try out his new guitar skills in front of the entire neighborhood.",Llama-3.2-3B-Instruct
"with his professional football career on the rise , davis had","with his professional football career on the rise , davis had everything he could have possibly hoped for as an athlete in that sport until a severe knee injury ended it abruptly after just five games into his second season.",Llama-3.2-3B-Instruct
"instead , he wanted","instead , he wanted me to join him for dinner at his place that evening.",Llama-3.2-3B-Instruct
she never wanted,she never wanted any children to grow up in such poverty that would force them into menial labor at an early age just like her own father had done when he was young.,Llama-3.2-3B-Instruct
"with a sigh , she stepped","with a sigh , she stepped into her old apartment, taking in the familiar yet worn-out atmosphere once again.",Llama-3.2-3B-Instruct
she  would always loved,she would always loved the smell of freshly baked cookies wafting from her grandmother's kitchen on Sundays afternoons.,Llama-3.2-3B-Instruct
while it boasted,while it boasted an impressive collection of fine art pieces in its lobby.,Llama-3.2-3B-Instruct
when she was,when she was a little girl living in New York City with her parents after moving there from Chicago.,Llama-3.2-3B-Instruct
when it came,when it came time to pay at checkout my card was declined due to insufficient funds.,Llama-3.2-3B-Instruct
"instead , she called","instead , she called her sister to come over and help her move into her new apartment.",Llama-3.2-3B-Instruct
as she stepped,"as she stepped into the room, she noticed that her grandmother was sitting in an armchair with a concerned expression on her face.",Llama-3.2-3B-Instruct
when he started,when he started playing piano at age six his parents knew they had to find him lessons.,Llama-3.2-3B-Instruct
one day when they had,one day when they had a big sale on winter clothing.,Llama-3.2-3B-Instruct
when they made,when they made the announcement about the price reduction on Apple products.,Llama-3.2-3B-Instruct
she only had,she only had eyes for him because he was rich.,Llama-3.2-3B-Instruct
"with a smirk , sean replied","with a smirk , sean replied ""are you kidding me?"" to his little brother's suggestion that they should get tattoos together.",Llama-3.2-3B-Instruct
once he was,once he was on top of his game as a professional basketball player but suffered a devastating knee injury that ended his career prematurely.,Llama-3.2-3B-Instruct
her parents rattled,her parents rattled the keys in their car while driving home from work on Friday afternoon.,Llama-3.2-3B-Instruct
even though she  would been,even though she would been better off staying home to watch her favorite TV show.,Llama-3.2-3B-Instruct
"instead , she had","instead , she had decided to take up painting as her new hobby after retiring early last year.",Llama-3.2-3B-Instruct
"at that time , she had","at that time , she had no idea how to operate it.",Llama-3.2-3B-Instruct
"instead , it was","instead , it was raining heavily outside so we stayed home and watched movies all day.",Llama-3.2-3B-Instruct
"with her grades already in the toilet , she was","with her grades already in the toilet , she was facing academic probation if she didn't improve them significantly over the next semester.",Llama-3.2-3B-Instruct
by the time she got,by the time she got home it was already too late to watch her favorite TV show.,Llama-3.2-3B-Instruct
"of course , her relationship with davis ended","of course , her relationship with davis ended because he cheated on her in their own backyard during their wedding anniversary weekend.",Llama-3.2-3B-Instruct
one thing her mother prided,one thing her mother prided herself on was being able to play the piano perfectly.,Llama-3.2-3B-Instruct
as they started,"as they started talking about their weekend plans, Sarah mentioned she was going to her sister's birthday party in Chicago.",Llama-3.2-3B-Instruct
while it was,while it was still raining outside in April.,Llama-3.2-3B-Instruct
after megan watched,after megan watched the entire series of Stranger Things over the course of three weekends.,Llama-3.2-3B-Instruct
"at the last door on the right , she knocked","at the last door on the right , she knocked three times before calling out his name in a soft voice that barely reached him through the closed door.",Llama-3.2-3B-Instruct
as noah sucked,as noah sucked on his pacifier so loudly that it shattered into a hundred pieces on the living room floor.,Llama-3.2-3B-Instruct
both father and son were,both father and son were extremely passionate about playing guitar.,Llama-3.2-3B-Instruct
"with a nod , emma replied","with a nod , emma replied that she had been thinking about quitting her job as well.",Llama-3.2-3B-Instruct
especially since his gown is,especially since his gown is made entirely out of expensive silk and satin that requires dry cleaning every week.,Llama-3.2-3B-Instruct
noah momentarily stopped,noah momentarily stopped and looked out at his wife as he pondered their decision to leave the ark.,Llama-3.2-3B-Instruct
i plan on spoiling,i plan on spoiling my little sister rotten with candy and ice cream for her birthday.,Llama-3.2-3B-Instruct
